property_type,area_m2,frontage_m,road_width_m,district,district_code,price_million_vnd,price_per_m2_million,source,url
land,79.0,5.0,7.5,Lien Chieu,5,5100.0,64.56,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/chon-tam-2-hoa-minh-es3190696
land,148.0,5.0,7.0,Ngu Hanh Son,4,11500.0,77.7,homedy_land_list,https://homedy.com/ban-dat-quan-ngu-hanh-son-da-nang/can-lo-148m2-duong-7m5-doan-uan-ngay-khu-nam-viet-a-gia-tot-chi-11-5-ty-es3190071
land,375.0,15.0,10.5,Lien Chieu,5,25500.0,68.0,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/hang-hiem-3-lo-ke-luong-truc-dan-duong-105m-es3190036
land,95.0,5.0,10.5,Lien Chieu,5,8190.0,86.21,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/mat-tien-tran-trieu-luat-duong-105m-truc-kinh-doanh-es3190033
land,89.0,6.7,7.5,Son Tra,3,13500.0,151.69,homedy_land_list,https://homedy.com/ban-dat-quan-son-tra-da-nang/kiet-duong-nhua-2-o-to-tranh-k55-vo-nguyen-giap-es3190000
land,166.0,6.26,7.5,Son Tra,3,25500.0,153.61,homedy_land_list,https://homedy.com/ban-dat-quan-son-tra-da-nang/duong-thu-khoa-huan-sat-nguyen-van-thoai-es3189998
land,70.0,5.0,7.5,Cam Le,6,3480.0,49.71,homedy_land_list,https://homedy.com/ban-dat-quan-cam-le-da-nang/can-lo-kiet-o-to-k123-nguyen-cong-hoan-es3189945
land,94.0,5.0,7.5,Lien Chieu,5,5290.0,56.28,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/mat-tien-bau-mac-17-gan-bien-truc-thong-nguyen-an-ninh-es3189943
land,125.0,5.0,7.5,Lien Chieu,5,6000.0,48.0,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-bau-mac-4-gan-bien-thoang-mat-dtd-125m2-5x25m-es3189679
land,158.0,14.0,5.5,Lien Chieu,5,10300.0,65.19,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/2-lo-ke-duong-dao-cong-soan-truc-thong-bien-es3189647
land,225.0,11.4,7.5,Thanh Khe,2,22990.0,102.18,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/hang-hiem-lo-goc-2-mt-duong-phung-hung-va-nguyen-thi-thap-es3189271
land,141.0,7.5,7.5,Lien Chieu,5,8000.0,56.74,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/hang-hiem-goc-2mt-nguyen-khac-nhu-dong-tri-2-gan-dh-su-pham-es3188928
land,108.0,5.0,7.5,Lien Chieu,5,5350.0,49.54,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-bau-mac-7-phuong-hoa-khanh-bac-es3188849
land,150.0,7.5,7.5,Lien Chieu,5,5950.0,39.67,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-75m-khanh-an-11-dien-tich-150m2-es3188846
land,108.0,5.0,6.0,Lien Chieu,5,6700.0,62.04,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-hoa-minh-29-truc-thong-ho-tung-mau-es3188794
land,188.0,7.5,7.5,Lien Chieu,5,9490.0,50.48,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-phan-van-thuat-view-cong-vien-sat-bien-es3188784
land,86.0,5.5,7.5,Lien Chieu,5,7990.0,92.91,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/goc-2mt-duong-le-thiet-hoa-minh-2-vi-tri-dep-gan-bien-es3188778
land,138.0,7.0,7.5,Thanh Khe,2,13500.0,97.83,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/goc-2mt-duong-ngo-duc-ke-phu-loc-10-es3188765
land,100.0,5.0,5.5,Lien Chieu,5,3700.0,37.0,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-thach-son-3-gan-me-linh-truc-chinh-di-ba-na-hills-es3188673
land,133.0,7.0,5.5,Lien Chieu,5,4650.0,34.96,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-ham-trung-4-gan-nguyen-luong-bang-es3188666
land,118.0,6.0,7.5,Lien Chieu,5,14700.0,124.58,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/lo-goc-2mt-duong-tran-nguyen-dan-hoa-minh-24-es3188664
land,95.0,5.0,10.5,Lien Chieu,5,7800.0,82.11,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-10-5m-tran-trieu-luat-thong-nguyen-sinh-sac-es3188661
land,51.0,5.0,7.5,Thanh Khe,2,5350.0,104.9,homedy_land_list,https://homedy.com/ban-dat-quan-thanh-khe-da-nang/2mt-kinh-doanh-duong-nguyen-phuoc-es3188610
