source,title,price_million_vnd,price_raw,price_per_m2_million,area_m2,bedrooms,floors,frontage_m,road_width_m,direction,property_type,legal_status,district,address,description,url,scraped_at
homedy_land_list,Bán lô đất kiệt phan kế bính – hải châu – đà nẵng,3450.0,"3,45 Tỷ",42.07,82.0,,,,,,land,,Hai Chau,Hai Chau,"Vị trí: Kiệt 18 Phan Kế Bính – khu trung tâm , gần chợ, trường học, tiện ích xung quanh đầy đủ• Diện tích: 82.3m² ( trong đó 32,3m đất trồng cây )• Ngang:...",https://homedy.com/ban-dat-quan-hai-chau-da-nang/lo-kiet-phan-ke-binh-es3200414,2026-05-18T19:52:24
homedy_land_list,"Đất 3 mặt tiền - hiếm có khó tìm tại cẩm lệ, đà nẵng",3700.0,"3,7 Tỷ",33.33,111.0,,,,,,land,,Cam Le,Cam Le,"- DT : 111.1 m² - Đặc biệt: 3 MẶT TIỀN thoáng đãng, hiếm có trên thị trường!- Vị trí vàng - Kết nối hoàn hảo:• Đường Nguyễn Như Đỗ, Cẩm Lệ, TP. Đà Nẵng•...",https://homedy.com/ban-dat-quan-cam-le-da-nang/3-mat-tien-hiem-co-kho-tim-tai-es3200337,2026-05-18T19:52:24
homedy_land_list,Đầu tư đất nền Hòa Tiến giá rẻ ven sông chỉ từ 1 ty 4xx,1460.0,"1,46 - 1,55 Tỷ",12.17,120.0,,,7.0,,,land,,Hoa Vang,Hoa Vang,"🔥 VEN SÔNG HÒA TIẾN – LÔ ĐẸP NGANG 7M, GIÁ CỰC KỲ HỢP LÝ 🔥📍 Vị trí nổi bậtNằm ngay ven sông Hòa Tiến – không gian thoáng, mát, dễ khai thác ở hoặc nghỉ...",https://homedy.com/ban-dat-huyen-hoa-vang-da-nang/dau-tu-nen-tien-gia-re-ven-song-chi-1-ty-4xx-es3199967,2026-05-18T19:52:24
homedy_land_list,chính chủ bán lô đất đẹp tại hoà vang giá mềm đầu tư sinh lợi nhuận cao,1500.0,"1,5 Tỷ",12.5,120.0,,,,605.0,,land,,Hoa Vang,Hoa Vang,"📍 CƠ HỘI SỞ HỮU ĐẤT ĐẸP TẠI HÒA VANG – ĐÓN ĐẦU TIỀM NĂNG 2025–2030 Bạn đang tìm một vị trí vừa ở lý tưởng, vừa đầu tư sinh lời? Đây chính là lựa chọn...",https://homedy.com/ban-dat-huyen-hoa-vang-da-nang/chinh-chu-lo-dep-tai-gia-mem-dau-tu-sinh-loi-nhuan-cao-es3199459,2026-05-18T19:52:24
homedy_land_list,Đón Đầu Quy Hoạch Làng Đại Học Đà Nẵng- Bất Động Sản Đầu Tư Dòng Tiền,2860.0,"2,86 Tỷ",24.24,118.0,,,,,,land,,Ngu Hanh Son,Ngu Hanh Son,Đón Đầu Quy Hoạch Làng Đại Học Đà Nẵng- Bất Động Sản Đầu Tư Dòng Tiền 📍 Khu vực gần Làng Đại học tương lai 📐 117.8m² – diện tích lớn 🔥...,https://homedy.com/ban-dat-quan-ngu-hanh-son-da-nang/don-dau-quy-hoach-lang-dai-hoc-bat-dong-san-tu-tien-es3198531,2026-05-18T19:52:24
homedy_land_list,📍 Đất Vàng Biển MỸ KHÊ - Giá Đầu Tư F0 - Chỉ 15 Tỷ X,15000.0,15 Tỷ,172.81,86.8,,,4.5,,,land,,Son Tra,Son Tra,"📍 ĐẤT VÀNG BIỂN MỸ KHÊ - GIÁ ĐẦU TƯ F0 - CHỈ 15 TỶ XCần tìm chủ nhân cho lô đất tâm điểm du lịch Đà Nẵng: ✅ Diện tích 86.8m2, ngang 4.5m cực...",https://homedy.com/ban-dat-quan-son-tra-da-nang/vang-bien-my-khe-gia-dau-tu-f0-chi-15-ty-x-es3197184,2026-05-18T19:52:24
homedy_land_list,🔴💥bán đất đường bàu năng 5 - sát lý thái tông,6150.0,"6,15 Tỷ",72.35,85.0,,,5.0,5.5,,land,,,,"Bán đất đường Bàu Năng 5 - Sát Lý Thái Tông-P. Hòa Khánh, TP Đà Nẵng-DTĐ: 85m2 (5x17)m-Đường rộng 5.5m lề 3m-vị trí sát Lý Thái Tông và gần Hoàng Thị Loan,...",https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-bau-5-sat-ly-thai-tong-es3196526,2026-05-18T19:52:24
homedy_land_list,🔴bán đất kiệt k02 nguyễn như hạnh – cách đường chính 20m,3150.0,"3,15 Tỷ",46.32,68.0,,,7.7,,,land,,,,"Bán đất kiệt K02 NGUYỄN NHƯ HẠNH – cách đường chính 20m-Diện tích: 68m2 ngang 7,7m, nở hậu đẹp-Vị trí lô đất sau nhà mặt tiền, cách đường chính 20m.-Khu vực...",https://homedy.com/ban-dat-quan-lien-chieu-da-nang/kiet-k02-nguyen-nhu-hanh-cach-duong-chinh-20m-es3196519,2026-05-18T19:52:24
homedy_land_list,🔴💥đất đường phước tường 5 - chỉ còn 1 lô duy nhất,4150.0,"4,15 Tỷ",51.23,81.0,,,,5.5,,land,,Cam Le,Cam Le,"Đất đường Phước Tường 5 - Chỉ Còn 1 lô Duy Nhất-P. Cẩm Lệ, TP Đà Nẵng-Đường 5.5, lề 3m-Đất đẹp xung quanh nhà cao tầng ,gần Lê Trọng Tấn.-Diện tích : 81m2...",https://homedy.com/ban-dat-quan-cam-le-da-nang/duong-phuoc-tuong-5-chi-con-1-lo-duy-nhat-es3196518,2026-05-18T19:52:24
homedy_land_list,"🔴💥bán đất mt đường 10,5m nguyễn đình tứ - kẹp kiệt phía sau",6000.0,6 Tỷ,61.86,97.0,,,5.0,10.5,,land,,,,"Bán đất MT đường 10,5m Nguyễn Đình Tứ - Kẹp kiệt phía sau Đất 2 mặt tiền trước và sau-P. Hòa Khánh, TP Đà Nẵng-DT: 96,5m2 (5x19,3)m-Đường 10,5m trục đường...",https://homedy.com/ban-dat-quan-lien-chieu-da-nang/mt-duong-105m-nguyen-dinh-tu-kep-kiet-phia-sau-es3196471,2026-05-18T19:52:24
